Time,AX,AY,AZ,GX,GY,GZ,SE0,SE1,SE2,SE3,BE
1549989880.36, -1.82979500294, -0.603544950485, -9.89622116089, 0.0521979592741, 0.693220853806, -0.00798948295414, -0.263736263736, 0.0, 0.0, 0.0, -0.52734375
1549989880.46, -1.67651379108, -0.641865253448, -9.43637752533, 0.0423442609608, 0.510527968407, -0.00346210948192, -0.43956043956, 0.0, 0.0, 0.0, -2.109375
1549989880.56, -1.58071291447, -0.632285177708, -9.05317401886, 0.0175768639892, 0.315051972866, 0.032756883651, -0.879120879121, 0.0, 0.0, 0.0, -4.74609375
1549989880.66, -1.42743170261, -0.66102540493, -8.89989280701, 0.00159789668396, 0.0921453759074, 0.0258326623589, -1.23076923077, 0.0, 0.0, 0.0, -4.74609375
1549989880.76, -1.18792974949, -0.440683603287, -9.01485347748, -0.0151800187305, -0.136087536812, 0.0106526445597, -1.23076923077, 0.0, 0.0, 0.0, -13.0078125
1549989880.86, -1.51365244389, -0.833466827869, -9.20645523071, -0.0343547798693, -0.34328147769, 0.0157126504928, -1.14285714286, 0.0, 0.0, 0.0, -17.9296875
1549989880.96, -1.58071291447, -0.593964874744, -9.67587947845, -0.0553937517107, -0.524110138416, 0.0380832031369, -0.879120879121, 0.0, -0.0879120879121, 0.0, -23.02734375
1549989881.06, -1.72441411018, -0.593964874744, -10.2219438553, -0.0545948036015, -0.684432387352, 0.0463390052319, -0.615384615385, 0.0, 0.0, 0.0, -28.125
1549989881.16, -2.03097653389, -0.498164087534, -10.5764055252, -0.0612527057528, -0.802676796913, 0.0149137023836, -0.527472527473, 0.0, 0.0, 0.0, -25.48828125
1549989881.26, -1.93517589569, -0.641865253448, -10.8925504684, -0.0609863884747, -0.865793704987, 0.019441075623, -0.703296703297, 0.0, 0.0, 0.0, -36.5625
1549989881.36, -1.97349619865, -0.680185556412, -10.9596099854, -0.0647148191929, -0.877777934074, 0.0487358495593, -0.967032967033, 0.0, 0.0, 0.0, -39.375
1549989881.46, -1.89685559273, -0.72808599472, -10.7488479614, -0.0599211268127, -0.830373644829, 0.0487358495593, -1.14285714286, 0.0, 0.0, 0.0, -41.30859375
1549989881.56, -1.82979500294, -0.756826221943, -10.3560647964, -0.0513990111649, -0.732369303703, 0.0335558317602, -1.05494505495, 0.0, 0.0, 0.0, -41.8359375
1549989881.66, -1.72441411018, -0.670605480671, -9.95370197296, -0.0399474166334, -0.586960732937, 0.0117179090157, -0.879120879121, 0.0, 0.0, 0.0, -41.30859375
1549989881.76, -1.59029304981, -0.54606449604, -9.43637752533, -0.0279631912708, -0.40772998333, 0.0170442312956, -0.703296703297, 0.0, 0.0, 0.0, -41.30859375
1549989881.86, -1.57113289833, -0.498164087534, -9.2256155014, -0.0175768639892, -0.197073921561, 0.0362189933658, -0.527472527473, 0.0, 0.0, 0.0, -44.12109375
1549989881.96, -1.5423926115, -0.574804723263, -9.14897537231, 0.000532632227987, 0.0197073929012, 0.028229508549, -0.43956043956, 0.0, -0.0879120879121, 0.0, -32.87109375
1549989882.06, -1.55197274685, -0.584384799004, -9.26393604279, 0.0170442312956, 0.23622238636, 0.00319579336792, -0.615384615385, 0.0, 0.0, 0.0, -28.125
1549989882.16, -1.62861335278, -0.632285177708, -9.50343799591, 0.0418116301298, 0.443416327238, 0.00798948295414, -0.879120879121, 0.0, 0.0, 0.0, -23.73046875
1549989882.26, -1.71483409405, -0.680185556412, -9.91538143158, 0.0404800474644, 0.621049165726, 0.0250337142497, -1.23076923077, 0.0, 0.0, 0.0, -18.10546875
1549989882.36, -1.81063485146, -0.71850591898, -10.3560647964, 0.0548611208797, 0.775778830051, 0.018908444792, -1.23076923077, 0.0, 0.0, 0.0, -22.5
1549989882.46, -1.95433604717, -0.680185556412, -10.6722078323, 0.0591221787035, 0.866858959198, 0.00372842559591, -0.967032967033, 0.0, 0.0, 0.0, -8.96484375
1549989882.56, -2.01181650162, -0.632285177708, -10.921289444, 0.065513767302, 0.916660070419, -0.00106526445597, -0.791208791209, 0.0, 0.0, 0.0, -5.44921875
1549989882.66, -1.99265635014, -0.593964874744, -10.8350687027, 0.0719053521752, 0.918790578842, 0.00665790308267, -0.527472527473, 0.0, 0.0, 0.0, -4.921875
1549989882.76, -2.17467784882, -0.613125026226, -10.528506279, 0.0604537576437, 0.857537865639, 0.0111852772534, -0.263736263736, 0.0, 0.0, 0.0, -1.23046875
1549989882.86, -1.85853528976, -0.622705101967, -10.1261434555, 0.0532632246614, 0.750745117664, -0.00239684502594, -0.263736263736, 0.0, 0.0, 0.0, -0.703125
1549989882.96, -1.83937501907, -0.651445329189, -9.63755893707, 0.0474042668939, 0.586428105831, -0.00133158056997, -0.43956043956, 0.0, 0.0, 0.0, -1.40625
1549989883.06, -1.61903321743, -0.670605480671, -9.2160358429, 0.028229508549, 0.411192089319, 0.019441075623, -0.879120879121, 0.0, 0.0, 0.0, -3.515625
1549989883.16, -1.57113289833, -0.670605480671, -8.93821334839, 0.00985369645059, 0.214917108417, 0.0314253009856, -1.05494505495, 0.0, 0.0, 0.0, -6.328125
1549989883.26, -1.72441411018, -0.555644571781, -10.0016021729, -0.0487358495593, -0.585362792015, 0.0386158376932, -1.23076923077, 0.0, 0.0, 0.0, -2.63671875
1549989883.59, -1.75315439701, -0.574804723263, -10.1165628433, -0.0551274344325, -0.649012386799, 0.0316916182637, -1.05494505495, 0.0, 0.0, 0.0, -15.29296875
1549989883.69, -1.87769544125, -0.593964874744, -10.5476665497, -0.0543284863234, -0.770985126495, 0.0221042372286, -0.967032967033, 0.0, 0.0, 0.0, -20.21484375
1549989883.79, -1.90643560886, -0.689765632153, -10.8063287735, -0.0596548095345, -0.833036780357, 0.0364853069186, -0.791208791209, 0.0, 0.0, 0.0, -25.13671875
1549989883.89, -1.91601574421, -0.72808599472, -10.8829689026, -0.065513767302, -0.855407357216, 0.0444747917354, -0.703296703297, 0.0, 0.0, 0.0, -28.30078125
1549989883.99, -1.87769544125, -0.689765632153, -10.6147270203, -0.0524642728269, -0.805606245995, 0.0284958239645, -0.791208791209, 0.0, 0.0, 0.0, -23.90625
1549989884.1, -1.83937501907, -0.689765632153, -10.4327058792, -0.0537958554924, -0.735565125942, 0.0237021334469, -0.967032967033, 0.0, 0.0, 0.0, -37.265625
1549989884.2, -1.72441411018, -0.622705101967, -10.0016021729, -0.042610578239, -0.593884944916, 0.0178431794047, -1.05494505495, 0.0, 0.0, 0.0, -39.90234375
1549989884.3, -1.66693365574, -0.565224647522, -9.59923839569, -0.0324905663729, -0.422643661499, 0.0335558317602, -1.05494505495, 0.0, 0.0, 0.0, -41.1328125
1549989884.4, -1.55197274685, -0.5364844203, -9.27351570129, -0.021038973704, -0.221042379737, 0.0279631912708, -0.967032967033, 0.0, 0.0, 0.0, -41.30859375
1549989884.5, -1.53281259537, -0.574804723263, -9.15855503082, -0.00585895450786, -0.0133158061653, 0.019441075623, -0.791208791209, 0.0, 0.0, 0.0, -40.60546875
1549989884.6, -1.53281259537, -0.603544950485, -9.24477577209, 0.0181094966829, 0.200003400445, 0.0109189609066, -0.615384615385, 0.0, -0.0879120879121, 0.0, -42.890625
1549989884.7, -1.64777350426, -0.670605480671, -9.54175853729, 0.0255663469434, 0.401871025562, 0.0111852772534, -0.527472527473, 0.0, 0.0, 0.0, -34.453125
1549989884.8, -1.72441411018, -0.689765632153, -9.9058008194, 0.0362189933658, 0.585362792015, 0.0170442312956, -0.703296703297, 0.0, -0.0879120879121, 0.0, -30.41015625
1549989884.9, -1.82021486759, -0.689765632153, -10.2794246674, 0.0495347976685, 0.731037735939, 0.0111852772534, -0.879120879121, 0.0, 0.0, 0.0, -26.71875
1549989885.0, -1.89685559273, -0.651445329189, -10.6626272202, 0.0564590170979, 0.835167348385, -0.00559263862669, -1.14285714286, 0.0, 0.0, 0.0, -20.91796875
1549989885.1, -1.96391606331, -0.622705101967, -10.815908432, 0.061519023031, 0.876712620258, 0.00266316113994, -1.23076923077, 0.0, 0.0, 0.0, -19.6875
1549989885.2, -1.99265635014, -0.632285177708, -10.7680082321, 0.0657800808549, 0.891093730927, 0.00958738010377, -1.05494505495, 0.0, 0.0, 0.0, -11.77734375
1549989885.3, -1.97349619865, -0.632285177708, -10.528506279, 0.0599211268127, 0.846352636814, 0.00905474834144, -0.791208791209, 0.0, 0.0, 0.0, -7.55859375
1549989885.4, -1.81063485146, -0.641865253448, -10.1644630432, 0.0577905960381, 0.743021965027, 0.00159789668396, -0.703296703297, 0.0, 0.0, 0.0, -4.74609375
1549989885.5, -1.82979500294, -0.651445329189, -9.62797927856, 0.0436758436263, 0.569383859634, 0.00133158056997, -0.43956043956, 0.0, 0.0, 0.0, -5.09765625
1549989885.6, -1.72441411018, -0.651445329189, -9.30225658417, 0.0218379218131, 0.342216193676, 0.0284958239645, -0.263736263736, 0.0, 0.0, 0.0, -1.40625
1549989885.7, -1.58071291447, -0.632285177708, -9.00527381897, 0.0167779158801, 0.216515004635, 0.033822145313, -0.351648351648, 0.0, 0.0, 0.0, -1.40625
1549989885.8, -1.95433604717, -0.699345707893, -9.05317401886, 0.000266316113994, -0.0178431794047, 0.00239684502594, -0.703296703297, 0.0, 0.0, 0.0, -2.8125
1549989885.9, -1.62861335278, -0.651445329189, -9.18729496002, -0.0245010815561, -0.317715138197, 0.0343547798693, -0.967032967033, 0.0, 0.0, 0.0, -5.44921875
1549989886.32, -1.85853528976, -0.66102540493, -10.6243066788, -0.0612527057528, -0.793089389801, 0.0319579318166, -1.05494505495, 0.0, 0.0, 0.0, -4.21875
1549989886.42, -1.91601574421, -0.689765632153, -10.815908432, -0.0671116635203, -0.830107331276, 0.0250337142497, -1.05494505495, 0.0, 0.0, 0.0, -12.65625
1549989886.52, -1.89685559273, -0.680185556412, -10.7009477615, -0.0551274344325, -0.818389415741, 0.0410126820207, -0.967032967033, 0.0, 0.0, 0.0, -17.578125
1549989886.62, -1.84895515442, -0.699345707893, -10.5189266205, -0.0572579652071, -0.751544058323, 0.032756883651, -0.879120879121, 0.0, 0.0, 0.0, -22.5
1549989886.72, -1.75315439701, -0.613125026226, -10.0495023727, -0.0378168895841, -0.611461818218, 0.018908444792, -0.791208791209, 0.0, 0.0, 0.0, -27.24609375
1549989886.82, -1.67651379108, -0.574804723263, -9.74293994904, -0.0423442609608, -0.491353243589, 0.0202400237322, -0.791208791209, 0.0, 0.0, 0.0, -26.71875
1549989886.92, -1.66693365574, -0.54606449604, -9.38847732544, -0.0218379218131, -0.266316115856, 0.0255663469434, -0.879120879121, 0.0, 0.0, 0.0, -35.15625
