0.0,-0.00015665378718850514
0.0,-0.07570200311195074
0.02,-0.10938180592067222
0.04,-0.1423836619345043
0.06,-0.17506138379631822
0.08,-0.20759520268498083
0.1,-0.2401659494265516
0.12,-0.2729541967936944
0.14,-0.30613799747058756
0.16,-0.33989071408009053
0.18,-0.374378926171982
0.2,-0.40976042178921734
0.22,-0.44618228203639143
0.24,-0.48377906746338106
0.26,-0.5226711154115804
0.28,-0.5629629577409676
0.3,-0.614755903287361
0.32,-0.6140619132313773
0.34,-0.6142044073538956
0.36,-0.6148374283394235
0.38,-0.6159382241201286
0.4,-0.6174790097858891
0.42,-0.6194337973153261
0.44,-0.6217781799913248
0.46,-0.6244890706712118
0.48,-0.6275444778746201
0.5,-0.6309233144817087
0.52,-0.634605234922056
0.54,-0.6385704973113681
0.56,-0.6427998474661468
0.58,-0.6472744221286683
0.6,-0.651975669077756
0.62,-0.656885282094408
0.64,-0.6619851490031329
0.66,-0.6672573112264325
0.68,-0.6726839334765509
0.7,-0.6782472823698393
0.72,-0.6839297128887193
0.74,-0.6897136617372627
0.76,-0.695581646741613
0.78,-0.7015162715380595
0.8,-0.7075002348713978
0.82,-0.7135163438960047
0.84,-0.7195475309330694
0.86,-0.725576873190987
0.88,-0.7315876150029288
0.9,-0.7375631921770367
0.92,-0.7434872580912313
0.94,-0.7493437111969677
0.96,-0.7551167236249786
0.98,-0.7607907706115999
1.0,-0.766350660487099
1.02,-0.7717815649878813
1.04,-0.7770690496728998
1.06,-0.7821991042412714
1.08,-0.7871581725632361
1.1,-0.7919331822504629
1.12,-0.7965115736044396
1.14,-0.8008813277934238
1.16,-0.8050309941193833
1.18,-0.8089497162465606
1.2,-0.8126272572729156
1.22,-0.8160540235347877
1.24,-0.8192210870437713
1.26,-0.8221202064630603
1.28,-0.8247438465384627
1.3,-0.8270851959069582
1.32,-0.8291381832130896
1.34,-0.8308974914707071
1.36,-0.832358570614626
1.38,-0.8335176481936609
1.4,-0.8343717381632225
1.42,-0.834918647742317
1.44,-0.8351569823062877
1.46,-0.8350861482930395
1.48,-0.8347063541231151
1.5,-0.834018609148476
1.52,-0.8330247205551492
1.54,-0.8317272882213443
1.56,-0.8301296975707166
1.58,-0.8282361104332773
1.6,-0.8260514539337783
1.62,-0.8235814074329558
1.64,-0.820832387552488
1.66,-0.8178115313198409
1.68,-0.8145266774743773
1.7,-0.8109863459811197
1.72,-0.8071997158034699
1.74,-0.7704243869105819
1.76,-0.7298468943775149
1.78,-0.6898123337029576
1.8,-0.6502756405545235
1.82,-0.6111406405076477
1.84,-0.5722953746398292
1.86,-0.533613420607769
1.88,-0.4949558238497552
1.9,-0.4561730784187813
1.92,-0.4171071434681722
1.94,-0.3775934876960815
1.96,-0.3374631535068897
1.98,-0.29654483219486033
2.0,-0.25466694102627324
2.02,-0.2116596926814575
2.04,-0.1612291932701067
2.06,-0.1547450240992946
2.08,-0.1473952359718215
2.1,-0.13958451431749197
2.12,-0.13135739193492885
2.14,-0.12275548595347999
2.16,-0.1138190075465379
2.18,-0.10458689928151998
2.2,-0.09509698936342716
2.22,-0.08538611830296144
2.24,-0.07549024099031205
2.26,-0.06544450724899302
2.28,-0.055283323572677796
2.3,-0.045040398431468474
2.32,-0.034748773259547464
2.34,-0.02444084099735244
2.36,-0.01414835385321715
2.38,-0.003902421767458352
2.4,0.006266497097494253
2.42,0.01632861265716512
2.44,0.026254824934553802
2.46,0.03601675086670903
2.48,0.04558675503168995
2.5,0.05493798352395236
2.52,0.0640444002813106
2.54,0.07288082523349772
2.56,0.08142297370191065
2.58,0.08964749653345291
2.6,0.09753202049920907
2.62,0.10505518853174016
2.64,0.11219669941370458
2.66,0.11893734656579692
2.68,0.12525905561414835
2.7,0.13114492044674222
2.72,0.13657923749540352
2.74,0.1415475380048894
2.76,0.14603661807371254
2.78,0.11646278933360962
2.8,0.08756383020734729
2.82,0.05846077391420641
2.84,0.028999408112309537
2.86,-0.0009975594885435252
2.88,-0.03170756700785161
2.9,-0.06330663926163876
2.92,-0.09596707181981722
2.94,-0.12985519074392338
2.96,-0.16512920221471838
2.98,-0.20193713901496094
3.0,-0.24041491154492114
3.02,-0.2806844716035091
3.04,-0.32285209764426276
3.06,-0.36700681059841506
3.08,-0.4128847123997028
3.1,-0.4167010558417518
3.12,-0.4222620624282748
3.14,-0.42880417080836913
3.16,-0.43628206950373877
3.18,-0.44465275502385326
3.2,-0.45387373208799375
3.22,-0.46390280559986763
3.24,-0.47469788815560593
3.26,-0.4862168441708956
3.28,-0.49841736665931974
3.3,-0.5112568828722331
3.32,-0.5246924854798015
3.34,-0.5386808863716492
3.36,-0.5531783904972921
3.38,-0.5681408874602579
3.4,-0.5835238588328202
3.42,-0.5992823993767289
3.44,-0.6153712505443611
3.46,-0.6317448447986584
3.48,-0.6483573594326706
3.5,-0.6651627786936033
3.52,-0.6821149631245597
3.54,-0.6991677251319369
3.56,-0.7162749098695615
3.58,-0.7333904806037757
3.6,-0.75046860778822
3.62,-0.7674637611342202
3.64,-0.7843308040134888
3.66,-0.8010250895752187
3.68,-0.8175025580003584
3.7,-0.8337198343525815
3.72,-0.8496343265187578
3.74,-0.8652043227621807
3.76,-0.8803890884397321
3.78,-0.8951489614600505
3.8,-0.9094454460838932
3.82,-0.9232413046905129
3.84,-0.9365006471552999
3.86,-0.9491890175043437
3.88,-0.9612734775311212
3.9,-0.9727226870794059
3.92,-0.9835069807148114
3.94,-0.9935984405252586
3.96,-1.002970964808195
3.98,-1.0116003324196328
4.0,-1.0194642625771069
